#options: 1920x1080 fps=30000/1001 timebase=1001/30000 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=12 lookahead_threads=4 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=crf mbtree=1 crf=30.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:0 out:0 type:I dur:2 cpbdur:2 q:36.03 aq:23.60 tex:478899 mv:77011 misc:290 imb:8160 pmb:0 smb:0 d:- ref:;
in:2 out:1 type:P dur:2 cpbdur:2 q:36.03 aq:28.09 tex:4152 mv:525 misc:1603 imb:35 pmb:254 smb:7871 d:- ref:0 ;
in:1 out:2 type:b dur:2 cpbdur:2 q:36.03 aq:22.44 tex:156 mv:56 misc:444 imb:0 pmb:30 smb:8130 d:- ref:0 ;
in:3 out:3 type:P dur:2 cpbdur:2 q:36.03 aq:29.23 tex:2503 mv:187 misc:918 imb:8 pmb:85 smb:8067 d:- ref:0 ;
in:5 out:4 type:P dur:2 cpbdur:2 q:36.03 aq:29.62 tex:6237 mv:446 misc:1685 imb:26 pmb:248 smb:7886 d:- ref:0 ;
in:4 out:5 type:b dur:2 cpbdur:2 q:36.03 aq:23.05 tex:41 mv:17 misc:398 imb:0 pmb:2 smb:8158 d:- ref:0 ;
in:6 out:6 type:P dur:2 cpbdur:2 q:36.03 aq:30.06 tex:3576 mv:298 misc:990 imb:14 pmb:97 smb:8049 d:- ref:0 ;
in:7 out:7 type:P dur:2 cpbdur:2 q:36.03 aq:29.36 tex:4309 mv:253 misc:1294 imb:5 pmb:166 smb:7989 d:- ref:0 ;
in:8 out:8 type:P dur:2 cpbdur:2 q:36.03 aq:28.09 tex:2554 mv:344 misc:1110 imb:27 pmb:111 smb:8022 d:- ref:0 ;
in:10 out:9 type:P dur:2 cpbdur:2 q:36.03 aq:28.10 tex:5073 mv:397 misc:1154 imb:27 pmb:121 smb:8012 d:- ref:0 ;
in:9 out:10 type:b dur:2 cpbdur:2 q:36.03 aq:33.94 tex:36 mv:32 misc:428 imb:0 pmb:10 smb:8150 d:- ref:0 ;
in:13 out:11 type:P dur:2 cpbdur:2 q:36.03 aq:28.44 tex:4268 mv:404 misc:1296 imb:21 pmb:147 smb:7992 d:- ref:0 ;
in:11 out:12 type:B dur:2 cpbdur:2 q:36.03 aq:32.92 tex:48 mv:37 misc:451 imb:0 pmb:11 smb:8149 d:- ref:0 ;
in:12 out:13 type:b dur:2 cpbdur:2 q:36.03 aq:34.00 tex:3 mv:20 misc:417 imb:0 pmb:9 smb:8151 d:- ref:0 ;
in:16 out:14 type:P dur:2 cpbdur:2 q:36.03 aq:27.83 tex:4566 mv:669 misc:1581 imb:67 pmb:175 smb:7918 d:- ref:0 ;
in:14 out:15 type:B dur:2 cpbdur:2 q:36.03 aq:34.00 tex:0 mv:0 misc:400 imb:0 pmb:0 smb:8160 d:- ref:0 ;
in:15 out:16 type:b dur:2 cpbdur:2 q:36.03 aq:34.00 tex:0 mv:0 misc:384 imb:0 pmb:0 smb:8160 d:- ref:0 ;
in:20 out:17 type:P dur:2 cpbdur:2 q:36.03 aq:26.58 tex:1464 mv:370 misc:902 imb:36 pmb:48 smb:8076 d:- ref:0 ;
in:18 out:18 type:B dur:2 cpbdur:2 q:36.03 aq:32.00 tex:0 mv:0 misc:400 imb:0 pmb:0 smb:8160 d:- ref:0 ;
in:17 out:19 type:b dur:2 cpbdur:2 q:36.03 aq:34.00 tex:0 mv:0 misc:384 imb:0 pmb:0 smb:8160 d:- ref:0 ;
in:19 out:20 type:b dur:2 cpbdur:2 q:36.03 aq:34.00 tex:0 mv:0 misc:384 imb:0 pmb:0 smb:8160 d:- ref:0 ;
in:22 out:21 type:P dur:2 cpbdur:2 q:36.03 aq:27.64 tex:1515 mv:368 misc:941 imb:23 pmb:75 smb:8062 d:- ref:0 ;
in:21 out:22 type:b dur:2 cpbdur:2 q:36.03 aq:34.00 tex:2 mv:10 misc:404 imb:0 pmb:5 smb:8155 d:- ref:0 ;
in:24 out:23 type:P dur:2 cpbdur:2 q:36.03 aq:26.23 tex:1645 mv:274 misc:785 imb:17 pmb:46 smb:8097 d:- ref:0 ;
in:23 out:24 type:b dur:2 cpbdur:2 q:36.03 aq:34.00 tex:0 mv:15 misc:409 imb:0 pmb:5 smb:8155 d:- ref:0 ;
in:26 out:25 type:P dur:2 cpbdur:2 q:36.03 aq:25.71 tex:789 mv:120 misc:603 imb:8 pmb:26 smb:8126 d:- ref:0 ;
in:25 out:26 type:b dur:2 cpbdur:2 q:36.03 aq:34.00 tex:0 mv:0 misc:384 imb:0 pmb:0 smb:8160 d:- ref:0 ;
in:30 out:27 type:P dur:2 cpbdur:2 q:36.03 aq:25.37 tex:1375 mv:319 misc:690 imb:30 pmb:20 smb:8110 d:- ref:0 ;
in:28 out:28 type:B dur:2 cpbdur:2 q:36.03 aq:38.60 tex:71 mv:24 misc:417 imb:0 pmb:3 smb:8157 d:- ref:0 ;
in:27 out:29 type:b dur:2 cpbdur:2 q:36.03 aq:34.00 tex:2 mv:7 misc:399 imb:0 pmb:3 smb:8157 d:- ref:0 ;
in:29 out:30 type:b dur:2 cpbdur:2 q:36.03 aq:34.00 tex:0 mv:0 misc:384 imb:0 pmb:0 smb:8160 d:- ref:0 ;
